streaming_movies,number_of_referrals,total_extra_data_charges,multiple_lines,total_revenue,paperless_billing,phone_service,total_charges,internet_service,tenure_in_months,age,streaming_tv,customer_id,state,gender,online_backup,online_security,internet_type,device_protection_plan,contract,monthly_charge,unlimited_data,married,streaming_music,payment_method,total_refunds,total_long_distance_charges,churn
No,7,0,No,2798.92,No,Yes,2169.4,Yes,8,45,No,97164-KAR,Karnataka,Female,Yes,No,DSL,No,Month-to-Month,50.2,Yes,Yes,No,Mailed Check,0.0,629.52,0
,10,0,Yes,3326.26,No,Yes,1229.1,No,21,38,,76411-PUN,Punjab,Male,,,,,Two Year,24.8,,Yes,,Credit Card,0.0,2097.16,0
No,8,30,Yes,368.7,Yes,Yes,303.7,Yes,19,68,No,35143-MAH,Maharashtra,Female,No,Yes,Fiber Optic,No,One Year,80.25,No,Yes,No,Bank Withdrawal,0.0,35.0,0
Yes,7,0,Yes,4406.81,Yes,Yes,3186.65,Yes,35,76,Yes,42735-WES,West Bengal,Female,Yes,No,Fiber Optic,No,Month-to-Month,99.95,Yes,Yes,No,Bank Withdrawal,0.0,1220.16,1
Yes,10,0,Yes,3823.12,Yes,Yes,2857.6,Yes,3,72,Yes,41038-TEL,Telangana,Female,Yes,Yes,Fiber Optic,Yes,One Year,110.5,Yes,Yes,No,Bank Withdrawal,0.0,965.52,0
Yes,4,80,No,435.9,No,Yes,195.3,Yes,3,63,No,87090-CHH,Chhattisgarh,Male,No,No,DSL,No,Month-to-Month,54.3,No,No,Yes,Bank Withdrawal,0.0,160.6,1
Yes,12,0,,768.45,Yes,No,768.45,Yes,20,76,No,22329-HAR,Haryana,Male,No,No,Cable,No,Month-to-Month,34.65,Yes,No,Yes,Bank Withdrawal,0.0,0.0,0
No,0,0,No,941.65,Yes,Yes,655.9,Yes,10,50,No,65825-JAM,Jammu & Kashmir,Female,No,No,Fiber Optic,Yes,Month-to-Month,75.75,Yes,Yes,No,Bank Withdrawal,0.0,285.75,1
Yes,0,0,Yes,7889.85,Yes,Yes,5283.95,Yes,23,39,Yes,57207-ODI,Odisha,Female,No,No,Fiber Optic,No,Month-to-Month,96.8,Yes,Yes,Yes,Bank Withdrawal,0.0,2605.9,1
Yes,7,0,,2780.6,Yes,No,2780.6,Yes,26,54,Yes,99673-JAM,Jammu & Kashmir,Female,Yes,No,DSL,No,One Year,56.3,Yes,Yes,Yes,Credit Card,0.0,0.0,0
Yes,1,0,Yes,7549.43,Yes,Yes,5662.25,Yes,30,35,Yes,37267-MAH,Maharashtra,Female,No,No,Cable,Yes,Two Year,80.45,Yes,No,Yes,Bank Withdrawal,0.0,1887.18,0
No,15,0,No,4905.74,No,Yes,3958.2,Yes,34,46,Yes,21116-ASS,Assam,Female,Yes,Yes,DSL,Yes,One Year,66.4,Yes,Yes,No,Credit Card,0.0,947.54,0
Yes,10,0,Yes,6716.54,Yes,Yes,6581.9,Yes,25,64,No,55152-TAM,Tamil Nadu,Female,Yes,Yes,Fiber Optic,No,One Year,96.55,Yes,No,No,Credit Card,0.0,134.64,1
Yes,0,0,Yes,6170.0,Yes,Yes,5129.3,Yes,31,36,No,74742-WES,West Bengal,Male,Yes,Yes,Cable,Yes,Two Year,81.3,Yes,No,Yes,Mailed Check,22.34,1063.04,0
No,14,0,Yes,5813.6,No,Yes,4758.8,Yes,4,51,No,77894-TAM,Tamil Nadu,Female,No,Yes,DSL,Yes,Two Year,66.85,Yes,Yes,No,Bank Withdrawal,0.0,1054.8,0
Yes,9,0,Yes,1534.03,Yes,Yes,1375.15,Yes,32,61,No,51098-DEL,Delhi,Female,No,No,Fiber Optic,No,Month-to-Month,85.35,Yes,Yes,No,Credit Card,0.0,158.88,1
,0,0,No,2482.69,No,Yes,860.85,No,7,24,,37038-PUN,Punjab,Female,,,,,One Year,20.0,,Yes,,Bank Withdrawal,0.0,1621.84,0
,3,0,No,934.96,No,Yes,599.25,No,10,23,,55091-JAM,Jammu & Kashmir,Female,,,,,Two Year,19.7,,Yes,,Credit Card,49.79,385.5,0
Yes,6,0,,526.95,Yes,No,526.95,Yes,27,81,No,25957-RAJ,Rajasthan,Female,No,No,DSL,Yes,Month-to-Month,43.65,Yes,Yes,No,Bank Withdrawal,0.0,0.0,1
No,15,0,Yes,2364.64,Yes,Yes,2200.7,Yes,25,65,No,89630-PUN,Punjab,Female,No,No,DSL,No,Two Year,53.85,Yes,No,No,Credit Card,46.66,210.6,0
,13,0,No,591.85,No,Yes,332.65,No,6,44,,98366-PUN,Punjab,Female,,,,,One Year,19.65,,Yes,,Credit Card,0.0,259.2,0
Yes,11,0,Yes,423.89,Yes,Yes,372.45,Yes,33,72,No,43353-GUJ,Gujarat,Female,No,No,Fiber Optic,Yes,Month-to-Month,88.85,Yes,Yes,No,Bank Withdrawal,0.0,51.44,1
No,0,0,,3011.65,Yes,No,3011.65,Yes,34,63,Yes,79308-AND,Andhra Pradesh,Male,Yes,No,Cable,Yes,One Year,44.05,Yes,No,No,Credit Card,0.0,0.0,0
Yes,9,0,No,103.1,No,Yes,79.9,Yes,5,57,No,96613-WES,West Bengal,Male,No,No,Fiber Optic,No,Month-to-Month,79.9,Yes,No,Yes,Bank Withdrawal,0.0,23.2,1
Yes,4,0,Yes,8273.24,Yes,Yes,7962.2,Yes,4,50,Yes,69346-AND,Andhra Pradesh,Male,Yes,No,Fiber Optic,Yes,Two Year,110.6,Yes,No,Yes,Credit Card,0.0,311.04,0
,4,0,No,1979.1,Yes,Yes,1482.3,No,33,63,,88562-TAM,Tamil Nadu,Male,,,,,Two Year,20.7,,No,,Credit Card,0.0,496.8,0
,2,0,No,1558.72,No,Yes,741.0,No,3,66,,89304-UTT,Uttar Pradesh,Female,,,,,One Year,21.1,,Yes,,Credit Card,14.23,831.95,0
Yes,6,50,Yes,9613.28,Yes,Yes,7379.8,Yes,34,82,Yes,33181-AND,Andhra Pradesh,Male,No,No,Fiber Optic,Yes,One Year,107.15,No,Yes,No,Credit Card,0.0,2183.48,0
No,15,0,Yes,8542.97,Yes,Yes,6152.4,Yes,9,43,No,15066-HAR,Haryana,Female,Yes,No,Fiber Optic,No,Two Year,84.8,Yes,No,No,Bank Withdrawal,0.0,2390.57,0
,13,0,Yes,3809.0,No,Yes,1685.9,No,15,40,,45666-HAR,Haryana,Female,,,,,Two Year,24.7,,No,,Bank Withdrawal,0.0,2123.1,0
Yes,14,0,,1636.95,Yes,No,1636.95,Yes,2,60,No,16790-RAJ,Rajasthan,Female,Yes,Yes,DSL,Yes,One Year,55.35,Yes,Yes,Yes,Credit Card,0.0,0.0,0
,4,0,No,2641.98,No,Yes,1240.8,No,8,57,,97954-WES,West Bengal,Male,,,,,Two Year,19.35,,No,,Bank Withdrawal,0.0,1401.18,0
Yes,6,0,No,2617.65,No,Yes,1648.45,Yes,9,73,Yes,67356-TAM,Tamil Nadu,Male,No,No,Fiber Optic,No,Two Year,89.95,Yes,Yes,No,Bank Withdrawal,0.0,969.2,0
No,2,0,No,5375.45,Yes,Yes,3842.6,Yes,35,55,No,74093-ODI,Odisha,Female,No,No,Fiber Optic,No,Two Year,69.05,Yes,Yes,No,Credit Card,0.0,1532.85,0
Yes,1,0,No,698.59,Yes,Yes,564.4,Yes,20,26,Yes,79918-MAH,Maharashtra,Female,No,No,Cable,Yes,Month-to-Month,70.05,Yes,No,Yes,Mailed Check,0.0,134.19,0
No,15,0,Yes,237.47,Yes,Yes,149.55,Yes,6,72,No,57456-CHH,Chhattisgarh,Male,No,No,Fiber Optic,Yes,Month-to-Month,78.55,Yes,Yes,No,Bank Withdrawal,0.0,87.92,1
Yes,11,0,Yes,7025.62,Yes,Yes,6841.3,Yes,2,62,Yes,29602-PUN,Punjab,Female,No,No,Fiber Optic,Yes,Two Year,97.85,Yes,No,Yes,Bank Withdrawal,0.0,184.32,0
,12,0,No,2577.95,No,Yes,1024.65,No,29,55,,23051-KAR,Karnataka,Male,,,,,Two Year,20.45,,No,,Credit Card,0.0,1553.3,0
No,1,0,Yes,3911.52,Yes,Yes,3344.1,Yes,31,64,No,66144-AND,Andhra Pradesh,Female,Yes,No,Fiber Optic,No,One Year,-5.0,Yes,Yes,No,Bank Withdrawal,0.0,567.42,0
Yes,6,0,Yes,2708.38,Yes,Yes,2249.95,Yes,29,31,Yes,59209-MAH,Maharashtra,Male,No,No,Fiber Optic,Yes,Month-to-Month,106.1,Yes,No,Yes,Bank Withdrawal,0.0,458.43,1
Yes,5,0,Yes,4445.63,Yes,Yes,4079.55,Yes,33,77,Yes,58317-MAD,Madhya Pradesh,Male,Yes,No,DSL,Yes,One Year,80.85,Yes,No,Yes,Bank Withdrawal,0.0,366.08,0
No,0,0,Yes,1603.06,Yes,Yes,913.3,Yes,11,41,No,42706-MAD,Madhya Pradesh,Female,No,No,DSL,No,Month-to-Month,50.3,Yes,Yes,No,Bank Withdrawal,0.0,689.76,0
No,10,0,No,1427.9,Yes,Yes,959.9,Yes,1,63,No,94907-HAR,Haryana,Male,Yes,Yes,Fiber Optic,Yes,Month-to-Month,84.6,Yes,No,No,Bank Withdrawal,0.0,468.0,0
Yes,9,30,Yes,9804.61,Yes,Yes,7767.25,Yes,6,61,Yes,51630-MAH,Maharashtra,Male,Yes,Yes,Fiber Optic,Yes,Two Year,108.4,No,Yes,Yes,Credit Card,0.0,2007.36,0
No,14,0,Yes,363.13,Yes,Yes,220.6,Yes,25,25,No,59807-JHA,Jharkhand,Female,No,No,Fiber Optic,No,Month-to-Month,75.5,Yes,Yes,No,Bank Withdrawal,0.0,142.53,1
Yes,6,0,Yes,7023.82,Yes,Yes,5832.0,Yes,2,70,Yes,62854-MAH,Maharashtra,Male,Yes,No,Fiber Optic,Yes,Two Year,110.75,Yes,No,Yes,Bank Withdrawal,6.26,1198.08,0
No,9,0,,1380.1,No,No,1380.1,Yes,8,59,No,76986-BIH,Bihar,Female,Yes,No,DSL,No,Month-to-Month,30.3,Yes,Yes,No,Bank Withdrawal,0.0,0.0,1
Yes,10,0,Yes,7361.72,Yes,Yes,5149.5,Yes,32,46,Yes,94704-WES,West Bengal,Female,Yes,No,Fiber Optic,No,Month-to-Month,98.4,Yes,No,Yes,Credit Card,0.0,2212.22,1
No,4,0,Yes,1014.95,No,Yes,757.1,Yes,17,68,No,61892-MAH,Maharashtra,Female,No,No,DSL,No,Month-to-Month,55.0,Yes,Yes,No,Credit Card,0.0,257.85,1
No,5,0,Yes,10304.5,Yes,Yes,6944.5,Yes,27,55,Yes,35755-UTT,Uttar Pradesh,Male,Yes,Yes,Fiber Optic,Yes,Two Year,99.35,Yes,No,No,Credit Card,0.0,3360.0,0
,8,0,No,830.22,No,Yes,370.5,No,24,61,,64454-PUN,Punjab,Female,,,,,Two Year,20.1,,No,,Credit Card,0.0,459.72,0
No,0,0,,189.95,No,No,189.95,Yes,31,46,No,23445-MAH,Maharashtra,Female,No,No,DSL,No,Month-to-Month,25.05,Yes,Yes,No,Bank Withdrawal,0.0,0.0,0
,2,0,Yes,2901.13,Yes,Yes,1342.15,No,36,41,,35779-ODI,Odisha,Female,,,,,One Year,24.75,,No,,Bank Withdrawal,0.0,1558.98,0
No,12,0,,24.25,Yes,No,24.25,Yes,2,62,No,44514-PUN,Punjab,Male,No,No,DSL,No,Month-to-Month,24.25,Yes,Yes,No,Bank Withdrawal,0.0,0.0,1
No,1,150,Yes,6576.63,No,Yes,5762.95,Yes,27,52,No,17065-PUN,Punjab,Female,Yes,No,Fiber Optic,Yes,One Year,86.45,No,Yes,No,Credit Card,0.0,663.68,0
Yes,15,0,Yes,10642.35,Yes,Yes,7323.15,Yes,15,46,Yes,38158-HAR,Haryana,Female,Yes,No,Fiber Optic,Yes,One Year,101.35,Yes,No,Yes,Bank Withdrawal,0.0,3319.2,0
No,9,0,No,5683.45,Yes,Yes,3119.9,Yes,6,26,No,23403-WES,West Bengal,Female,No,No,DSL,Yes,Two Year,55.25,Yes,No,No,Credit Card,0.0,2563.55,0
No,1,0,,190.25,Yes,No,190.25,Yes,7,59,No,42100-TEL,Telangana,Male,No,No,DSL,No,Month-to-Month,24.95,Yes,No,No,Bank Withdrawal,0.0,0.0,0
,10,0,No,186.5,No,Yes,83.3,No,31,28,,48678-MAD,Madhya Pradesh,Female,,,,,Month-to-Month,20.05,,Yes,,Credit Card,0.0,103.2,0
No,10,0,,812.4,No,No,812.4,Yes,24,29,Yes,55015-WES,West Bengal,Female,Yes,No,DSL,Yes,One Year,46.4,Yes,No,No,Credit Card,0.0,0.0,0
No,11,0,Yes,3358.36,No,Yes,2839.95,Yes,8,23,Yes,21291-MAH,Maharashtra,Male,Yes,No,DSL,Yes,One Year,68.5,Yes,Yes,No,Bank Withdrawal,38.37,556.78,0
No,7,0,Yes,893.3,Yes,Yes,834.1,Yes,23,29,Yes,84710-MAH,Maharashtra,Male,No,No,Fiber Optic,No,Month-to-Month,86.05,Yes,Yes,No,Bank Withdrawal,0.0,59.2,1
Yes,9,0,Yes,9686.85,Yes,Yes,6603.0,Yes,4,62,Yes,33672-JAM,Jammu & Kashmir,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,103.4,Yes,Yes,Yes,Bank Withdrawal,0.0,3083.85,1
,11,0,No,233.78,No,Yes,128.6,No,6,22,,42868-TEL,Telangana,Male,,,,,Month-to-Month,19.55,,No,,Credit Card,0.0,105.18,0
,10,0,No,689.08,No,Yes,324.8,No,5,20,,96225-GUJ,Gujarat,Female,,,,,One Year,19.35,,No,,Mailed Check,0.0,364.28,0
Yes,14,0,No,6813.38,No,Yes,5731.85,Yes,7,67,No,27709-WES,West Bengal,Female,Yes,No,Fiber Optic,Yes,Month-to-Month,94.15,Yes,No,Yes,Credit Card,0.0,1081.53,0
No,3,0,Yes,1467.32,Yes,Yes,1029.35,Yes,21,55,No,72278-UTT,Uttar Pradesh,Female,No,Yes,Fiber Optic,No,Month-to-Month,80.0,No,Yes,No,Credit Card,0.0,437.97,0
Yes,10,0,No,9245.46,Yes,Yes,6654.1,Yes,4,24,Yes,88826-UTT,Uttar Pradesh,Male,Yes,No,Fiber Optic,Yes,One Year,102.45,Yes,Yes,Yes,Credit Card,0.0,2591.36,0
,0,0,No,32.05,No,Yes,20.05,No,30,61,,67394-MAH,Maharashtra,Female,,,,,Month-to-Month,20.05,,Yes,,Bank Withdrawal,0.0,12.0,1
Yes,8,140,Yes,10858.08,Yes,Yes,8220.4,Yes,6,30,Yes,82183-WES,West Bengal,Female,Yes,Yes,Fiber Optic,Yes,Two Year,115.6,No,Yes,Yes,Bank Withdrawal,0.0,2497.68,0
Yes,2,140,Yes,2462.95,No,Yes,1957.1,Yes,4,35,Yes,84122-UTT,Uttar Pradesh,Male,No,No,Cable,No,Month-to-Month,71.6,No,Yes,Yes,Bank Withdrawal,0.0,365.85,0
No,9,0,No,1507.01,Yes,Yes,1374.35,Yes,10,19,Yes,49699-JAM,Jammu & Kashmir,Female,No,Yes,DSL,No,One Year,59.75,Yes,No,No,Bank Withdrawal,0.0,132.66,0
No,9,0,No,955.62,Yes,Yes,688.5,Yes,4,24,No,88042-CHH,Chhattisgarh,Female,Yes,No,DSL,Yes,Month-to-Month,-10.0,Yes,Yes,No,Bank Withdrawal,49.24,316.36,0
,2,0,No,185.16,No,Yes,68.8,No,4,49,,33682-AND,Andhra Pradesh,Male,,,,,Two Year,19.55,,No,,Credit Card,0.0,116.36,0
No,10,0,Yes,413.5,No,Yes,349.8,Yes,17,57,No,42561-GUJ,Gujarat,Female,No,No,DSL,No,Month-to-Month,48.8,Yes,Yes,No,Bank Withdrawal,0.0,63.7,0
Yes,7,10,No,772.84,No,Yes,483.3,Yes,16,42,Yes,41881-RAJ,Rajasthan,Male,No,Yes,DSL,Yes,Month-to-Month,78.65,No,Yes,Yes,Credit Card,0.0,279.54,0
Yes,15,0,Yes,6769.65,Yes,Yes,4858.7,Yes,9,45,Yes,64136-TAM,Tamil Nadu,Female,Yes,No,Fiber Optic,No,One Year,98.25,Yes,No,Yes,Bank Withdrawal,3.55,1914.5,0
No,10,0,No,915.79,Yes,Yes,683.25,Yes,14,30,Yes,12069-UTT,Uttar Pradesh,Female,No,No,DSL,Yes,Month-to-Month,59.65,Yes,Yes,No,Bank Withdrawal,0.0,232.54,0
Yes,13,0,No,6627.8,Yes,Yes,5437.1,Yes,14,69,Yes,67398-UTT,Uttar Pradesh,Female,No,No,Fiber Optic,Yes,One Year,99.1,Yes,Yes,Yes,Bank Withdrawal,0.0,1190.7,0
No,11,0,,678.75,Yes,No,678.75,Yes,21,48,No,74937-RAJ,Rajasthan,Male,No,No,DSL,No,Month-to-Month,30.35,Yes,No,No,Bank Withdrawal,0.0,0.0,0
Yes,1,0,Yes,8531.69,Yes,Yes,7344.45,Yes,32,55,Yes,31080-UTT,Uttar Pradesh,Male,Yes,No,Fiber Optic,Yes,One Year,109.7,Yes,Yes,Yes,Credit Card,0.0,1187.24,0
No,15,0,No,109.4,Yes,Yes,70.3,Yes,4,79,No,93446-AND,Andhra Pradesh,Male,No,No,Fiber Optic,No,Month-to-Month,70.3,Yes,Yes,No,Bank Withdrawal,0.0,39.1,1
Yes,10,0,Yes,5934.73,Yes,Yes,4408.45,Yes,9,53,No,79244-BIH,Bihar,Female,Yes,No,Fiber Optic,Yes,One Year,94.15,Yes,No,Yes,Bank Withdrawal,0.0,1526.28,0
No,10,0,,560.5,No,No,560.5,Yes,1,60,Yes,85703-WES,West Bengal,Female,Yes,Yes,DSL,Yes,Two Year,56.05,Yes,Yes,No,Credit Card,0.0,0.0,0
,15,0,Yes,1789.86,No,Yes,1133.7,No,11,26,,17155-UTT,Uttar Pradesh,Female,,,,,One Year,24.35,,No,,Bank Withdrawal,0.0,656.16,0
Yes,13,50,No,3475.7,No,Yes,2283.3,Yes,9,67,No,38970-DEL,Delhi,Male,No,No,DSL,No,One Year,55.8,No,No,Yes,Bank Withdrawal,0.0,1142.4,0
Yes,7,0,Yes,913.39,Yes,Yes,740.8,Yes,11,65,No,62631-TAM,Tamil Nadu,Female,No,No,DSL,No,Month-to-Month,66.35,Yes,No,Yes,Bank Withdrawal,0.0,172.59,1
Yes,5,0,Yes,622.45,Yes,Yes,424.45,Yes,33,67,Yes,24185-MAH,Maharashtra,Female,No,No,Fiber Optic,No,Month-to-Month,94.3,Yes,Yes,Yes,Bank Withdrawal,0.0,198.0,1
No,5,0,No,1858.95,Yes,Yes,1536.75,Yes,9,35,No,91875-AND,Andhra Pradesh,Female,No,Yes,DSL,No,Month-to-Month,48.8,Yes,No,No,Credit Card,0.0,322.2,0
No,1,0,Yes,1883.35,Yes,Yes,1430.05,Yes,11,28,Yes,99036-KAR,Karnataka,Male,Yes,No,Fiber Optic,No,Month-to-Month,91.0,Yes,Yes,No,Bank Withdrawal,0.0,453.3,0
,0,0,No,502.39,No,Yes,164.85,No,9,57,,12016-TAM,Tamil Nadu,Female,,,,,Month-to-Month,20.05,,Yes,,Mailed Check,0.0,337.54,1
No,0,0,Yes,1795.78,Yes,Yes,1248.9,Yes,19,60,No,88047-KAR,Karnataka,Female,Yes,No,Fiber Optic,No,Month-to-Month,80.55,Yes,Yes,No,Credit Card,0.0,546.88,0
,14,0,No,561.46,Yes,Yes,147.55,No,27,34,,86935-TEL,Telangana,Female,,,,,Month-to-Month,20.45,,Yes,,Credit Card,0.0,413.91,0
,1,0,No,362.81,Yes,Yes,130.55,No,17,39,,73614-MAH,Maharashtra,Female,,,,,Month-to-Month,18.95,,Yes,,Credit Card,0.0,232.26,0
No,8,0,Yes,368.06,No,Yes,289.1,Yes,28,62,Yes,86690-KAR,Karnataka,Female,No,No,Fiber Optic,Yes,Month-to-Month,91.05,Yes,No,No,Bank Withdrawal,0.0,78.96,1
Yes,3,70,Yes,1957.25,No,Yes,1588.75,Yes,9,20,Yes,11244-JAM,Jammu & Kashmir,Female,No,Yes,Cable,No,One Year,76.0,No,No,Yes,Bank Withdrawal,7.3,305.8,0
No,14,0,No,1020.08,No,Yes,818.45,Yes,12,24,No,48955-TEL,Telangana,Female,No,No,Fiber Optic,Yes,Month-to-Month,72.9,Yes,No,No,Bank Withdrawal,0.0,201.63,0
Yes,7,0,No,98.55,Yes,Yes,95.85,Yes,2,52,Yes,26902-TEL,Telangana,Male,No,No,Fiber Optic,No,Month-to-Month,95.85,Yes,Yes,Yes,Bank Withdrawal,0.0,2.7,0
No,15,0,No,5625.86,Yes,Yes,3670.5,Yes,26,74,No,37435-TEL,Telangana,Female,Yes,Yes,Fiber Optic,No,Two Year,85.15,Yes,No,No,Bank Withdrawal,0.0,1955.36,0
No,12,0,,1224.05,No,No,1224.05,Yes,11,46,No,33334-HAR,Haryana,Male,Yes,No,Cable,No,Month-to-Month,29.3,Yes,Yes,No,Credit Card,0.0,0.0,0
,11,0,No,1627.29,No,Yes,487.05,No,11,38,,81089-MAH,Maharashtra,Male,,,,,Two Year,20.75,,Yes,,Credit Card,0.0,1140.24,0
No,3,0,No,1672.17,Yes,Yes,1565.7,Yes,36,30,No,21928-KAR,Karnataka,Male,Yes,No,Fiber Optic,No,Month-to-Month,74.05,Yes,Yes,No,Bank Withdrawal,0.0,106.47,1
No,9,0,,264.8,No,No,264.8,Yes,32,52,No,92118-PUN,Punjab,Male,No,Yes,DSL,Yes,One Year,35.3,Yes,Yes,No,Credit Card,0.0,0.0,0
,1,0,No,1970.87,No,Yes,1272.05,No,35,42,,62729-WES,West Bengal,Female,,,,,Two Year,19.75,,Yes,,Bank Withdrawal,0.0,698.82,0
Yes,12,0,No,889.79,Yes,Yes,712.25,Yes,5,34,Yes,28587-GUJ,Gujarat,Male,No,No,DSL,Yes,Month-to-Month,-3.0,Yes,No,Yes,Bank Withdrawal,0.0,177.54,0
Yes,1,0,Yes,458.55,Yes,Yes,334.65,Yes,25,74,Yes,27880-UTT,Uttar Pradesh,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,105.9,Yes,No,No,Bank Withdrawal,0.0,123.9,1
Yes,9,0,Yes,6926.31,No,Yes,5969.85,Yes,29,29,Yes,98696-WES,West Bengal,Male,No,No,Fiber Optic,Yes,Two Year,107.95,Yes,Yes,Yes,Bank Withdrawal,0.0,956.46,0
,3,0,No,1002.36,Yes,Yes,445.3,No,26,61,,24871-BIH,Bihar,Male,,,,,One Year,20.0,,Yes,,Credit Card,0.0,557.06,0
No,1,0,No,1813.93,Yes,Yes,1087.45,Yes,8,18,No,81000-MAD,Madhya Pradesh,Female,Yes,Yes,DSL,No,One Year,61.5,Yes,No,No,Credit Card,0.0,726.48,0
,12,0,No,4760.15,No,Yes,1360.25,No,6,44,,33927-MAH,Maharashtra,Male,,,,,Two Year,20.05,,Yes,,Credit Card,0.0,3399.9,0
,12,0,No,1516.6,No,Yes,579.4,No,29,28,,35453-BIH,Bihar,Female,,,,,One Year,20.1,,Yes,,Credit Card,0.0,937.2,0
No,9,0,No,56.25,Yes,Yes,49.9,Yes,8,24,No,97497-RAJ,Rajasthan,Male,Yes,No,DSL,No,Month-to-Month,49.9,Yes,Yes,No,Bank Withdrawal,0.0,6.35,0
,14,0,No,187.99,No,Yes,52.0,No,6,29,,28317-MAD,Madhya Pradesh,Female,,,,,Two Year,19.1,,Yes,,Mailed Check,0.0,135.99,0
Yes,15,0,Yes,7835.99,Yes,Yes,6077.75,Yes,5,74,Yes,72886-PUN,Punjab,Female,Yes,No,Fiber Optic,Yes,Two Year,110.45,Yes,Yes,No,Bank Withdrawal,0.0,1758.24,0
Yes,3,0,No,865.61,Yes,Yes,515.75,Yes,10,45,No,11952-RAJ,Rajasthan,Female,No,Yes,Cable,Yes,Month-to-Month,71.35,Yes,No,Yes,Credit Card,0.0,349.86,0
No,3,0,No,5781.1,No,Yes,5706.2,Yes,23,50,No,41614-UTT,Uttar Pradesh,Male,Yes,Yes,Fiber Optic,No,Two Year,84.6,Yes,No,No,Bank Withdrawal,0.0,74.9,0
Yes,8,0,No,119.53,Yes,Yes,89.3,Yes,29,65,Yes,59433-BIH,Bihar,Female,No,No,Fiber Optic,No,Month-to-Month,89.3,Yes,No,No,Bank Withdrawal,0.0,30.23,1
No,6,0,Yes,4186.2,Yes,Yes,3181.8,Yes,9,77,Yes,22753-KAR,Karnataka,Female,Yes,Yes,Fiber Optic,Yes,Month-to-Month,105.7,Yes,No,No,Bank Withdrawal,0.0,1004.4,0
No,4,0,Yes,3981.71,Yes,Yes,2619.15,Yes,29,66,No,57530-KAR,Karnataka,Male,No,No,Fiber Optic,No,One Year,79.25,Yes,Yes,No,Bank Withdrawal,16.96,1379.52,0
,6,0,No,47.28,Yes,Yes,19.0,No,31,63,,32063-UTT,Uttar Pradesh,Female,,,,,Month-to-Month,19.0,,Yes,,Credit Card,0.0,28.28,0
Yes,6,0,No,6061.5,Yes,Yes,5669.5,Yes,1,60,Yes,17032-UTT,Uttar Pradesh,Female,No,No,Fiber Optic,Yes,Month-to-Month,98.7,Yes,Yes,Yes,Bank Withdrawal,0.0,392.0,0
No,3,0,No,884.15,Yes,Yes,824.75,Yes,9,23,No,96122-TAM,Tamil Nadu,Female,Yes,No,Fiber Optic,No,Month-to-Month,74.55,Yes,No,No,Bank Withdrawal,0.0,59.4,1
Yes,13,60,Yes,6869.15,Yes,Yes,5731.4,Yes,19,59,Yes,96905-KAR,Karnataka,Male,No,Yes,Fiber Optic,Yes,Two Year,109.3,No,Yes,Yes,Bank Withdrawal,3.85,1081.6,0
,0,0,No,700.7,No,Yes,260.9,No,18,60,,13189-PUN,Punjab,Female,,,,,One Year,19.7,,No,,Credit Card,0.0,439.8,0
No,2,0,,1072.6,No,No,1072.6,Yes,10,51,No,61221-MAH,Maharashtra,Male,No,Yes,DSL,No,One Year,35.6,Yes,Yes,No,Mailed Check,0.0,0.0,0
Yes,1,0,No,2656.56,No,Yes,2603.1,Yes,15,48,Yes,14458-BIH,Bihar,Male,Yes,No,Cable,Yes,Two Year,82.1,Yes,Yes,Yes,Credit Card,0.0,53.46,0
,4,0,No,1475.95,No,Yes,454.05,No,26,37,,53368-RAJ,Rajasthan,Female,,,,,Month-to-Month,19.05,,Yes,,Bank Withdrawal,0.0,1021.9,0
No,9,0,,856.35,Yes,No,856.35,Yes,32,52,No,16556-GUJ,Gujarat,Female,Yes,No,DSL,No,Month-to-Month,30.6,Yes,No,No,Bank Withdrawal,0.0,0.0,1
Yes,1,0,No,1023.95,Yes,Yes,653.15,Yes,16,64,Yes,41272-MAD,Madhya Pradesh,Female,No,No,Cable,Yes,Month-to-Month,67.8,Yes,Yes,Yes,Credit Card,0.0,370.8,0
,2,0,No,505.1,No,Yes,459.6,No,9,38,,96283-HAR,Haryana,Female,,,,,One Year,-5.0,,Yes,,Credit Card,0.0,45.5,0
No,11,0,,357.15,No,No,357.15,Yes,24,32,No,47938-BIH,Bihar,Female,Yes,No,DSL,No,Month-to-Month,29.15,Yes,No,No,Bank Withdrawal,0.0,0.0,0
Yes,11,0,No,9635.0,Yes,Yes,7031.3,Yes,14,39,Yes,74506-HAR,Haryana,Female,Yes,Yes,Fiber Optic,Yes,One Year,103.15,Yes,Yes,Yes,Bank Withdrawal,0.0,2603.7,0
Yes,10,10,Yes,9180.75,No,Yes,7968.85,Yes,36,48,Yes,13194-UTT,Uttarakhand,Female,Yes,Yes,Fiber Optic,Yes,One Year,115.65,No,No,Yes,Credit Card,0.0,1201.9,1
No,12,0,No,71.35,Yes,Yes,69.15,Yes,27,49,No,16504-HAR,Haryana,Male,No,No,Fiber Optic,No,Month-to-Month,69.15,Yes,Yes,No,Bank Withdrawal,0.0,2.2,1
Yes,6,0,No,6465.0,Yes,Yes,5464.65,Yes,7,44,Yes,32507-JAM,Jammu & Kashmir,Female,No,No,Fiber Optic,Yes,Two Year,95.25,Yes,No,Yes,Bank Withdrawal,0.0,1000.35,1
